GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
syos-system,cli,MainCLI,10,18,0,0,3,5,1,1,1,1
syos-system,cli,StockCLI,129,12,9,0,31,4,10,1,2,1
syos-system,cli,ApplicationCLI,33,96,5,5,7,24,5,7,1,4
syos-system,cli,EmployeeCLI,73,69,4,4,10,24,4,5,0,3
syos-system,cli,ReportCLI,94,213,2,7,23,57,3,12,1,7
syos-system,cli,ItemCLI,114,0,9,0,34,0,10,0,2,0
syos-system,cli,BillingCLI,54,44,1,1,12,14,1,2,0,2
syos-system,cli,AuthenticationCLI,0,67,0,2,0,20,0,4,0,3
syos-system,cli.menus,ItemCLIHandler,187,213,6,2,41,62,6,10,2,10
syos-system,cli.menus,StockCLIHandler,8,132,0,0,2,41,1,8,1,8
syos-system,core.services,ShelfService,0,26,0,0,0,10,0,5,0,5
syos-system,core.services,ItemService,25,54,2,2,6,17,3,7,2,6
syos-system,core.services,AuthenticationService,0,19,0,0,0,5,0,3,0,3
syos-system,core.services,BillingService,31,338,8,12,5,74,8,9,0,7
syos-system,core.services,StockService,42,171,0,8,12,39,4,14,4,10
syos-system,core.utils,DateUtil,6,0,0,0,2,0,2,0,2,0
syos-system,core.utils,DatabaseConnectionManager,50,44,7,3,12,14,7,3,2,3
syos-system,core.utils,LockManager,18,0,0,0,3,0,4,0,4,0
syos-system,core.utils,SerialNumberGenerator,67,87,10,4,27,29,9,4,2,4
syos-system,core.utils,EncryptionUtil,10,43,0,2,3,6,1,2,1,1
syos-system,core.utils,TaskExecutor,24,0,0,0,4,0,3,0,3,0
syos-system,core.discount,BulkPurchaseDiscount,0,22,0,2,0,5,0,3,0,2
syos-system,core.discount,DiscountResult,0,15,0,0,0,6,0,3,0,3
syos-system,core.discount,NoDiscount,0,16,0,2,0,4,0,3,0,2
syos-system,core.discount,BaseDiscountHandler,0,29,0,4,0,6,0,5,0,3
syos-system,core.discount,SeasonalDiscount,13,14,1,1,3,4,1,2,0,2
syos-system,core.discount,DiscountContext,0,30,0,0,0,9,0,2,0,2
syos-system,core.report,BillReport,0,81,0,2,0,14,0,3,0,2
syos-system,core.report,ReorderReport,5,76,0,2,2,17,0,4,0,3
syos-system,core.report,StockReport,0,65,0,4,0,16,0,4,0,2
syos-system,core.report,DailySalesReporter,0,89,0,2,0,17,0,3,0,2
syos-system,core.models,User,15,18,0,0,7,7,4,3,4,3
syos-system,core.models,Shelf,15,40,0,0,7,16,4,6,4,6
syos-system,core.models,Customer,0,6,0,0,0,2,0,1,0,1
syos-system,core.models,BillItem,0,27,0,0,0,10,0,5,0,5
syos-system,core.models,Admin,0,6,0,0,0,2,0,1,0,1
syos-system,core.models,Bill,7,55,0,0,1,20,1,10,1,10
syos-system,core.models,Item,16,21,0,0,7,8,2,4,2,4
syos-system,core.models,Employee,0,6,0,0,0,2,0,1,0,1
syos-system,core.models,StockEntry,12,52,0,0,3,19,3,8,3,8
syos-system,core.dao,UserDAO,0,109,1,5,0,33,1,5,0,3
syos-system,core.dao,BillDAO,4,164,4,8,2,42,4,8,0,6
syos-system,core.dao,ItemDAO,66,130,4,4,19,36,5,6,2,5
syos-system,core.dao,BillItemDAO,0,54,0,2,0,15,0,3,0,2
syos-system,core.dao,ShelfDAO,0,114,1,3,0,34,1,6,0,5
syos-system,core.dao,StockEntryDAO,152,112,9,1,44,27,9,4,4,4
syos-system,core.command,ReportInvoker,0,31,0,2,0,9,0,4,0,3
syos-system,core.command,GenerateReportCommand,0,10,0,0,0,5,0,2,0,2
syos-system,core.billing,DiscountedBill,0,17,0,0,0,4,0,2,0,2
syos-system,core.billing,BillDecorator,0,46,0,0,0,16,0,7,0,7
syos-system,core.billing,FooterBill,0,234,0,2,0,32,0,3,0,2
syos-system,core.billing,BillBuilder,0,25,0,0,0,5,0,2,0,2
syos-system,core.billing,BasicBill,0,58,0,2,0,10,0,3,0,2
syos-system,core.strategy.stock,StockAllocator,0,12,0,0,0,4,0,2,0,2
syos-system,core.strategy.stock,ExpiryAwareStockSelectionStrategy,3,81,2,10,0,25,2,7,0,3
syos-system,web.servlets,ItemServlet,200,0,17,0,57,0,15,0,4,0
syos-system,web.servlets,StockServlet,200,0,17,0,58,0,15,0,4,0
syos-system,web.servlets,BillingServlet,234,0,22,0,58,0,15,0,4,0
syos-system,web.servlets,AuthenticationServlet,205,0,9,0,69,0,13,0,8,0
syos-system,web.servlets,ReportServlet,307,0,22,0,70,0,17,0,4,0
syos-system,core.facade,StockFacade,385,0,22,0,96,0,24,0,13,0
syos-system,core.userfactory,UserFactory,3,43,0,6,1,6,1,5,1,1
syos-system,core.observer,ReorderNotifier,0,93,0,8,0,21,0,7,0,3
syos-system,web.websockets,InventorySocket,39,0,4,0,9,0,7,0,5,0
